Objects,,,,,,,
100,,,,,,,
,,Global Angle Tello_DC5B8B:Tello_DC5B8B,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
3873,0,0.00698666,-0.0308232,-1.60835,3012.01,-2508.71,5.65544
3874,0,0.00707027,-0.0310549,-1.60863,3012.07,-2508.74,5.64866
3875,0,0.00713115,-0.0297115,-1.60788,3011.96,-2508.63,5.66878
3876,0,0.0070439,-0.0296491,-1.60791,3012,-2508.67,5.65751
3877,0,0.00734025,-0.0291403,-1.60801,3012.01,-2508.67,5.66692
3878,0,0.00766383,-0.0285633,-1.60795,3012.04,-2508.69,5.66749
3879,0,0.00750939,-0.0294497,-1.60809,3012.05,-2508.69,5.66704
3880,0,0.00770197,-0.028788,-1.60802,3012.05,-2508.67,5.65314
3881,0,0.00723149,-0.0291517,-1.60812,3012.03,-2508.66,5.65228
3882,0,0.00736677,-0.0288378,-1.60771,3011.98,-2508.63,5.67361
3883,0,0.0081051,-0.0288795,-1.60713,3011.93,-2508.57,5.66407
3884,0,0.00773194,-0.028791,-1.60797,3011.99,-2508.65,5.66788
3885,0,0.0076582,-0.0289811,-1.60805,3012.02,-2508.66,5.66044
3886,0,0.00765267,-0.0297121,-1.60793,3012,-2508.66,5.67815
3887,0,0.00756993,-0.0299059,-1.60761,3011.96,-2508.64,5.70164
3888,0,0.0072864,-0.0302065,-1.60856,3012.03,-2508.71,5.68
3889,0,0.00697959,-0.0303806,-1.60882,3012.07,-2508.74,5.63594
3890,0,0.00686901,-0.0297729,-1.60899,3012.05,-2508.74,5.63407
3891,0,0.00690802,-0.0292751,-1.60801,3011.97,-2508.65,5.63592
3892,0,0.00679252,-0.0299689,-1.60821,3011.96,-2508.64,5.6424
3893,0,0.00668759,-0.0294193,-1.60841,3011.99,-2508.67,5.65619
3894,0,0.00681693,-0.0296882,-1.60838,3012.01,-2508.69,5.65975
3895,0,0.00705755,-0.0296938,-1.60824,3012.02,-2508.66,5.65997
3896,0,0.00684515,-0.0302856,-1.60886,3012.05,-2508.69,5.61498
3897,0,0.00710244,-0.0289059,-1.60853,3012.03,-2508.67,5.64465
3898,0,0.00709663,-0.0279589,-1.6083,3011.95,-2508.62,5.65339
3899,0,0.00731183,-0.0290082,-1.60817,3011.99,-2508.65,5.65441
3900,0,0.00723455,-0.0289213,-1.60772,3011.91,-2508.59,5.68045
3901,0,0.00726664,-0.0295958,-1.60808,3011.98,-2508.64,5.65061
3902,0,0.00756707,-0.0292152,-1.60766,3011.99,-2508.65,5.66587
3903,0,0.00737996,-0.028685,-1.60735,3011.91,-2508.6,5.66214
3904,0,0.00740633,-0.0292498,-1.60668,3011.89,-2508.57,5.64668
3905,0,0.0072025,-0.0287729,-1.60755,3011.87,-2508.55,5.66248
3906,0,0.00712812,-0.0296807,-1.60772,3011.95,-2508.6,5.65129
3907,0,0.0068406,-0.0306474,-1.60755,3011.96,-2508.65,5.64297
3908,0,0.00697833,-0.0318531,-1.60747,3011.98,-2508.65,5.70143
3909,0,0.00707859,-0.0312493,-1.60796,3012.01,-2508.67,5.68645
3910,0,0.00718487,-0.0310371,-1.60844,3012.04,-2508.69,5.67285
