Objects
100
,,Global Angle Racer400:Racer400,,,,,,Global Angle Tello_FCF6BF:Tello_FCF6BF,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
5902,0,0.0179995,-0.0318543,3.11132,-3113.08,6266.44,755.179,-0.0256714,0.0343083,1.53278,-1898.27,2505.36,21.2488
5903,0,0.0190725,-0.0323662,3.11114,-3113.08,6266.48,755.293,-0.0214768,0.0339994,1.53285,-1898.44,2505.39,21.6067
5904,0,0.0181386,-0.0318507,3.11127,-3112.96,6266.43,755.196,-0.0161707,0.0333871,1.53298,-1898.58,2505.43,22.1312
5905,0,0.0183653,-0.0323623,3.11093,-3113.02,6266.5,755.218,-0.0105033,0.0327524,1.53311,-1898.64,2505.51,22.7604
5906,0,0.0182459,-0.0313706,3.11142,-3113.07,6266.42,755.145,-0.00397836,0.0323944,1.53322,-1898.77,2505.5,23.4232
5907,0,0.0181097,-0.0318107,3.11115,-3112.88,6266.46,755.226,0.00279154,0.0319628,1.53344,-1898.85,2505.49,24.2561
5908,0,0.0179786,-0.0314019,3.11131,-3113,6266.4,755.194,0.00953435,0.0315219,1.53363,-1898.99,2505.53,25.2786
5909,0,0.0181598,-0.0321697,3.11118,-3112.95,6266.46,755.211,0.0150865,0.0312093,1.53364,-1899.05,2505.52,26.4036
5910,0,0.018079,-0.0314549,3.11122,-3112.94,6266.42,755.204,0.0192513,0.0303527,1.5335,-1899.11,2505.48,27.7427
5911,0,0.0177061,-0.0319047,3.11108,-3112.88,6266.46,755.234,0.0227733,0.0305331,1.53361,-1899.14,2505.42,29.2273
5912,0,0.0184996,-0.0322273,3.11106,-3113,6266.46,755.217,0.0270168,0.0303061,1.53363,-1899.23,2505.31,30.8229
5913,0,0.0180562,-0.0319232,3.11121,-3113.01,6266.46,755.187,0.0283967,0.0312373,1.5332,-1899.21,2505.21,32.6566
5914,0,0.0179727,-0.0316758,3.11133,-3113.03,6266.44,755.152,0.0297484,0.0309032,1.53317,-1899.19,2505.11,34.7375
5915,0,0.0180536,-0.0320152,3.11106,-3112.98,6266.45,755.222,0.0293973,0.0313594,1.53294,-1899.16,2504.89,36.9023
5916,0,0.0184106,-0.0318748,3.11134,-3113.06,6266.44,755.196,0.0279457,0.032067,1.53271,-1899.08,2504.71,39.4603
5917,0,0.0181024,-0.0311345,3.11137,-3113.03,6266.41,755.169,0.0257647,0.0323232,1.53247,-1898.99,2504.43,42.2512
5918,0,0.0182673,-0.0316557,3.11128,-3113.07,6266.43,755.187,0.0238963,0.0315293,1.53257,-1898.91,2504.16,45.3644
5919,0,0.0184117,-0.0320385,3.11111,-3113.04,6266.47,755.209,0.0205362,0.0305728,1.53224,-1898.74,2503.86,48.7896
5920,0,0.0181734,-0.0320421,3.11125,-3113.04,6266.44,755.204,0.0180958,0.0301679,1.53255,-1898.61,2503.47,52.4618
5921,0,0.0179139,-0.0317037,3.11113,-3112.99,6266.44,755.179,0.0161588,0.0299097,1.53262,-1898.42,2503.04,56.4544
5922,0,0.0180847,-0.0320439,3.11114,-3113,6266.49,755.203,0.0136396,0.0302165,1.53276,-1898.21,2502.58,60.7524
5923,0,0.0188904,-0.0322918,3.11126,-3113.03,6266.47,755.247,0.0120797,0.0308767,1.53296,-1897.9,2502.09,65.3772
5924,0,0.0181745,-0.0316835,3.11128,-3113.06,6266.46,755.189,0.0112867,0.0316503,1.53358,-1897.68,2501.55,70.2428
5925,0,0.0181185,-0.0316918,3.11141,-3112.99,6266.43,755.212,0.00825214,0.0324654,1.53361,-1897.44,2501,75.3493
5926,0,0.0183056,-0.0314415,3.1114,-3113.07,6266.43,755.165,0.00696897,0.0326707,1.53417,-1897.1,2500.42,80.7358
5927,0,0.0182956,-0.0316409,3.11122,-3113,6266.45,755.231,0.00492513,0.0334635,1.53423,-1896.81,2499.77,86.2897
5928,0,0.0178401,-0.0316504,3.11134,-3112.91,6266.42,755.223,0.00164111,0.0345725,1.53437,-1896.51,2499.16,92.0684
5929,0,0.0193966,-0.033561,3.11115,-3113.15,6266.53,755.324,-0.000620985,0.0358472,1.53452,-1896.16,2498.54,98.1111
5930,0,0.0176953,-0.0317284,3.11122,-3112.93,6266.44,755.203,-0.00430892,0.0368601,1.5346,-1895.86,2497.87,104.206
5931,0,0.0183325,-0.0313202,3.11137,-3113.09,6266.41,755.151,-0.00841187,0.0387766,1.53442,-1895.47,2497.31,110.561
5932,0,0.0181923,-0.0320149,3.11122,-3112.93,6266.43,755.218,-0.0125762,0.0401935,1.53437,-1895.19,2496.68,117.031
5933,0,0.0184797,-0.0322261,3.11101,-3112.99,6266.46,755.204,-0.0164819,0.0415236,1.53454,-1894.82,2496.07,123.644
5934,0,0.0183486,-0.03197,3.11117,-3113.04,6266.46,755.207,-0.0205006,0.0431116,1.53443,-1894.53,2495.47,130.384
5935,0,0.0179365,-0.0316227,3.1113,-3113.02,6266.43,755.174,-0.0240217,0.0435399,1.5344,-1894.18,2494.97,137.276
5936,0,0.0191284,-0.0323458,3.11122,-3113.1,6266.47,755.33,-0.0271241,0.0445066,1.53406,-1893.87,2494.4,144.226
5937,0,0.0181901,-0.031688,3.11133,-3112.98,6266.44,755.18,-0.0301541,0.0445194,1.53397,-1893.58,2493.87,151.345
5938,0,0.01843,-0.0319812,3.11119,-3112.99,6266.45,755.238,-0.0330373,0.0445873,1.53379,-1893.22,2493.44,158.551
5939,0,0.0177028,-0.0317461,3.11125,-3112.95,6266.44,755.172,-0.0343563,0.0441593,1.53398,-1892.93,2492.92,165.815
5940,0,0.0182575,-0.0317784,3.11126,-3112.93,6266.43,755.244,-0.0363461,0.0436195,1.53382,-1892.64,2492.47,173.195
5941,0,0.0181645,-0.0321695,3.11113,-3113.07,6266.48,755.17,-0.0374919,0.0432139,1.53368,-1892.37,2492.1,180.655
5942,0,0.0186406,-0.0318836,3.11123,-3113.02,6266.45,755.211,-0.0381455,0.0423413,1.53348,-1892.14,2491.68,188.068
5943,0,0.0179931,-0.0315892,3.11118,-3112.99,6266.44,755.226,-0.039117,0.041259,1.53351,-1891.86,2491.31,195.619
5944,0,0.0196224,-0.0338216,3.11091,-3112.97,6266.55,755.364,-0.0392922,0.0404201,1.53331,-1891.63,2490.98,203.203
5945,0,0.0194974,-0.0339061,3.11091,-3113.08,6266.55,755.367,-0.039506,0.0390298,1.53333,-1891.37,2490.68,210.839
5946,0,0.0179706,-0.0316954,3.11131,-3113.01,6266.41,755.199,-0.0396422,0.0384606,1.53304,-1891.21,2490.33,218.476
5947,0,0.0179551,-0.0319417,3.11114,-3113.06,6266.46,755.154,-0.0390477,0.037415,1.53301,-1891.03,2490.07,226.178
5948,0,0.0180454,-0.0318362,3.11123,-3113,6266.44,755.176,-0.0383591,0.0357605,1.53291,-1890.83,2489.88,233.957
5949,0,0.0183679,-0.032203,3.11102,-3113.01,6266.48,755.235,-0.0388743,0.0353453,1.53258,-1890.67,2489.65,241.675
5950,0,0.0180443,-0.0319156,3.11123,-3112.97,6266.44,755.211,-0.0381415,0.0348071,1.53246,-1890.56,2489.4,249.419
