Objects
100
,,Global Angle Tello_DC5B8B:Tello_DC5B8B,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
105,0,-0.0037077,-0.0230309,3.09418,-2101.98,-4187.24,12.6278
106,0,-0.00497359,-0.0244907,3.09406,-2101.97,-4187.23,12.616
107,0,-0.00572933,-0.0254794,3.09407,-2101.97,-4187.21,12.6086
108,0,-0.00589377,-0.0261308,3.09409,-2101.96,-4187.21,12.6034
109,0,-0.00625524,-0.0263782,3.09408,-2101.96,-4187.2,12.5945
110,0,-0.00670295,-0.0268754,3.09397,-2101.95,-4187.2,12.5908
111,0,-0.00649288,-0.0265488,3.09405,-2101.95,-4187.2,12.595
112,0,-0.00767235,-0.0275568,3.09374,-2101.97,-4187.19,12.5636
113,0,-0.00680005,-0.0269763,3.09403,-2101.97,-4187.19,12.5674
114,0,-0.00842019,-0.0257053,3.09401,-2101.97,-4187.19,12.563
115,0,-0.0081988,-0.0265642,3.09394,-2101.96,-4187.18,12.577
116,0,-0.00322305,-0.0213114,3.09451,-2101.98,-4187.25,12.6462
117,0,-0.00477742,-0.0234802,3.09434,-2101.96,-4187.23,12.6321
118,0,-0.00573018,-0.0248487,3.09408,-2101.96,-4187.22,12.6154
119,0,-0.00591827,-0.0253778,3.09408,-2101.96,-4187.21,12.6084
120,0,-0.00604327,-0.0259825,3.09419,-2101.96,-4187.21,12.5996
121,0,-0.00633871,-0.0262776,3.09422,-2101.96,-4187.2,12.596
122,0,-0.00641588,-0.0265287,3.09417,-2101.95,-4187.2,12.5917
123,0,-0.00627684,-0.0265168,3.09414,-2101.95,-4187.2,12.5886
124,0,-0.00760535,-0.0278886,3.09395,-2101.97,-4187.18,12.5631
125,0,-0.00251132,-0.0218091,3.09472,-2101.97,-4187.25,12.6425
126,0,-0.00294301,-0.0226384,3.09444,-2101.97,-4187.22,12.6216
127,0,-0.00451148,-0.0242913,3.0943,-2101.96,-4187.22,12.61
128,0,-0.00567855,-0.0255579,3.09421,-2101.95,-4187.21,12.6017
129,0,-0.00153289,-0.0203929,3.09453,-2101.97,-4187.27,12.6629
130,0,-0.00370988,-0.0228701,3.09427,-2101.97,-4187.24,12.6386
131,0,-0.00496741,-0.0244113,3.09422,-2101.96,-4187.23,12.6233
132,0,-0.00717857,-0.0240608,3.09411,-2101.97,-4187.21,12.5977
133,0,-0.00681681,-0.0251187,3.09412,-2101.96,-4187.21,12.5942
134,0,-0.00798964,-0.024227,3.09406,-2101.97,-4187.2,12.581
135,0,-0.00705794,-0.0248332,3.09419,-2101.96,-4187.2,12.5811
136,0,-0.00694864,-0.0256994,3.09405,-2101.96,-4187.2,12.5898
137,0,-0.00682279,-0.0262561,3.09414,-2101.96,-4187.2,12.5934
138,0,-0.00694863,-0.026491,3.09409,-2101.96,-4187.2,12.5953
139,0,-0.0071447,-0.026888,3.09406,-2101.96,-4187.2,12.5966
140,0,-0.00693244,-0.0268381,3.09408,-2101.95,-4187.2,12.5978
141,0,-0.00732805,-0.0271203,3.09401,-2101.95,-4187.19,12.5908
142,0,-0.00689741,-0.0267738,3.094,-2101.94,-4187.2,12.5885
143,0,-0.00686578,-0.0269636,3.09396,-2101.95,-4187.19,12.5891
144,0,-0.00671287,-0.0269515,3.09396,-2101.95,-4187.19,12.5902
145,0,-0.0066084,-0.0267743,3.09409,-2101.95,-4187.2,12.5911
146,0,-0.00653195,-0.0267417,3.09406,-2101.95,-4187.2,12.5908
147,0,-0.00651017,-0.0268516,3.09395,-2101.95,-4187.2,12.5943
148,0,-0.00685629,-0.0271994,3.09393,-2101.95,-4187.2,12.5939
149,0,-0.00677859,-0.0268783,3.09399,-2101.95,-4187.2,12.5939
150,0,-0.00679705,-0.0270235,3.09407,-2101.96,-4187.2,12.5983
151,0,-0.0070192,-0.0271053,3.09402,-2101.96,-4187.21,12.5991
152,0,-0.00679209,-0.026778,3.09401,-2101.95,-4187.2,12.596
153,0,-0.00692335,-0.0268625,3.09405,-2101.95,-4187.2,12.5965
154,0,-0.00684664,-0.0268339,3.09396,-2101.95,-4187.19,12.5888
155,0,-0.00710048,-0.0270035,3.0941,-2101.94,-4187.19,12.5892
156,0,-0.00632707,-0.0265238,3.09416,-2101.95,-4187.2,12.5933
157,0,-0.00659531,-0.0266858,3.09392,-2101.94,-4187.2,12.5896
158,0,-0.00705405,-0.0270066,3.09389,-2101.95,-4187.2,12.5928
159,0,-0.00724862,-0.027151,3.09383,-2101.95,-4187.2,12.5945
160,0,-0.00689175,-0.0269762,3.0939,-2101.95,-4187.2,12.5917
161,0,-0.00700057,-0.0272006,3.09399,-2101.95,-4187.2,12.595
162,0,-0.00683045,-0.0271125,3.09407,-2101.95,-4187.2,12.5933
163,0,-0.0071786,-0.0270925,3.09406,-2101.95,-4187.2,12.5955
164,0,-0.00663257,-0.0267507,3.09415,-2101.96,-4187.2,12.5983
165,0,-0.00683425,-0.0270014,3.09412,-2101.95,-4187.2,12.5949
166,0,-0.00715531,-0.0270806,3.09394,-2101.95,-4187.2,12.5954
167,0,-0.00727096,-0.0273883,3.09392,-2101.95,-4187.2,12.5964
168,0,-0.00702908,-0.0271664,3.09393,-2101.96,-4187.2,12.5976
169,0,-0.00682848,-0.0270009,3.09399,-2101.95,-4187.2,12.5922
170,0,-0.00684683,-0.02709,3.09395,-2101.95,-4187.2,12.5935
171,0,-0.00692089,-0.0268287,3.09398,-2101.95,-4187.2,12.5912
172,0,-0.00693611,-0.0267853,3.09403,-2101.95,-4187.2,12.5968
173,0,-0.00859133,-0.0255044,3.09397,-2101.96,-4187.19,12.5827
174,0,-0.00782655,-0.0261238,3.09405,-2101.95,-4187.2,12.5839
175,0,-0.00687394,-0.02617,3.09414,-2101.95,-4187.2,12.5872
176,0,-0.00692444,-0.0263407,3.09403,-2101.94,-4187.2,12.5894
177,0,-0.00705694,-0.0266986,3.09394,-2101.95,-4187.2,12.5934
178,0,-0.00688341,-0.0266109,3.09399,-2101.95,-4187.2,12.5932
179,0,-0.00671898,-0.0267214,3.09409,-2101.95,-4187.2,12.592
180,0,-0.00655601,-0.0265174,3.09412,-2101.95,-4187.2,12.5908
181,0,-0.00658002,-0.026758,3.09417,-2101.96,-4187.19,12.5929
182,0,-0.0067067,-0.0267902,3.09404,-2101.96,-4187.2,12.5947
183,0,-0.00650321,-0.0269518,3.09423,-2101.96,-4187.19,12.5882
184,0,-0.00634234,-0.0266177,3.09415,-2101.96,-4187.2,12.591
185,0,-0.0068443,-0.0269227,3.09408,-2101.95,-4187.2,12.5899
186,0,-0.00696966,-0.0268687,3.09398,-2101.95,-4187.2,12.596
187,0,-0.00701181,-0.0269183,3.09397,-2101.95,-4187.2,12.5997
188,0,-0.00681064,-0.0268771,3.09398,-2101.95,-4187.2,12.5925
189,0,-0.00683819,-0.0267982,3.09408,-2101.95,-4187.2,12.5936
190,0,-0.00701094,-0.0267396,3.09396,-2101.95,-4187.2,12.5965
191,0,-0.00690237,-0.0268605,3.09405,-2101.95,-4187.19,12.591
192,0,-0.00705824,-0.0269836,3.09404,-2101.94,-4187.19,12.5973
193,0,-0.00721689,-0.0271363,3.09405,-2101.94,-4187.19,12.5933
194,0,-0.0075052,-0.0275218,3.09405,-2101.95,-4187.19,12.599
195,0,-0.00714805,-0.0269579,3.09401,-2101.95,-4187.2,12.5944
196,0,-0.00736804,-0.0272861,3.09393,-2101.95,-4187.19,12.596
197,0,-0.00733538,-0.0271483,3.09399,-2101.95,-4187.19,12.5919
198,0,-0.00289458,-0.0219736,3.09471,-2101.97,-4187.25,12.6559
199,0,-0.00439808,-0.0239586,3.09443,-2101.97,-4187.23,12.641
200,0,-0.00514744,-0.0251513,3.09428,-2101.96,-4187.22,12.6267
201,0,-0.00573681,-0.0257536,3.0942,-2101.95,-4187.21,12.6184
202,0,-0.00611043,-0.0263487,3.09419,-2101.95,-4187.2,12.6091
203,0,-0.00696077,-0.0273078,3.09402,-2101.97,-4187.18,12.5695
204,0,-0.00706667,-0.0272247,3.09407,-2101.96,-4187.19,12.5811
205,0,-0.00706149,-0.0273011,3.09405,-2101.95,-4187.19,12.5866
206,0,-0.00731841,-0.0273394,3.09388,-2101.95,-4187.2,12.599
207,0,-0.00738216,-0.0273668,3.0939,-2101.95,-4187.2,12.5967
208,0,-0.00741382,-0.0273856,3.09378,-2101.95,-4187.2,12.5978
209,0,-0.00683654,-0.0268304,3.09391,-2101.95,-4187.19,12.5945
210,0,-0.00680829,-0.0267991,3.09392,-2101.96,-4187.2,12.598
211,0,-0.00684374,-0.0266283,3.09386,-2101.96,-4187.2,12.6017
212,0,-0.00684412,-0.026879,3.09404,-2101.96,-4187.2,12.5988
213,0,-0.0018795,-0.0208443,3.09447,-2101.99,-4187.27,12.6637
214,0,-0.0039394,-0.0233928,3.09426,-2101.98,-4187.24,12.6379
215,0,-0.00518079,-0.0250095,3.09403,-2101.98,-4187.25,12.6198
216,0,-0.0124103,-0.0305411,3.0947,-2101.83,-4187.08,12.5331
217,0,-0.0113047,-0.0304447,3.09451,-2101.85,-4187.09,12.5482
218,0,-0.00604909,-0.0244441,3.09498,-2101.85,-4187.09,12.6344
219,0,-0.00882224,-0.0277962,3.09473,-2101.84,-4187.09,12.5955
220,0,-0.0105373,-0.0300136,3.09437,-2101.84,-4187.09,12.5743
221,0,-0.0108132,-0.0309009,3.09338,-2101.91,-4187.18,12.5473
222,0,-0.00955528,-0.029495,3.09395,-2101.91,-4187.15,12.5779
223,0,-0.0109515,-0.0307202,3.09398,-2101.89,-4187.13,12.5747
224,0,-0.0113644,-0.0318569,3.09413,-2101.87,-4187.11,12.5539
225,0,-0.00746559,-0.0270254,3.09481,-2101.88,-4187.16,12.6181
226,0,-0.00957749,-0.0295634,3.09453,-2101.86,-4187.13,12.5897
227,0,-0.0107259,-0.0310203,3.09447,-2101.86,-4187.11,12.5748
228,0,-0.0137182,-0.0349603,3.09465,-2101.8,-4187.05,12.5212
229,0,-0.0133727,-0.0344844,3.09447,-2101.82,-4187.06,12.5359
230,0,-0.00766449,-0.0275698,3.09459,-2101.89,-4187.17,12.6212
231,0,-0.0130724,-0.0308738,3.09472,-2101.83,-4187.09,12.5498
232,0,-0.0151788,-0.0316542,3.09463,-2101.83,-4187.06,12.5205
233,0,-0.0154886,-0.0341512,3.09456,-2101.82,-4187.05,12.5168
234,0,-0.00855464,-0.0267506,3.09508,-2101.87,-4187.12,12.6192
235,0,-0.00769494,-0.0267726,3.09522,-2101.84,-4187.06,12.6123
236,0,-0.0107715,-0.0305622,3.09477,-2101.84,-4187.06,12.5872
