Objects
100
,,Global Angle Miner1:Miner1,,,,,,Global Angle Tello_DC5B8B:Tello_DC5B8B,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
6719,0,-0.0332156,-0.0215342,0.0788124,3519.59,6034.22,184.81,-0.00188756,-0.0105002,3.13098,-2040.08,-4061.44,522.565
6720,0,-0.0328142,-0.0207076,0.0789802,3519.65,6034.27,184.665,-0.00443817,-0.0111383,3.13089,-2039.88,-4061.49,527.619
6721,0,-0.0330639,-0.0208523,0.078841,3519.6,6034.26,184.686,-0.00764631,-0.0117452,3.13078,-2039.62,-4061.62,532.645
6722,0,-0.0331676,-0.0214383,0.0788682,3519.64,6034.22,184.811,-0.0102286,-0.0125568,3.13072,-2039.41,-4061.73,537.569
6723,0,-0.0327235,-0.0208082,0.0788421,3519.53,6034.24,184.705,-0.00996847,-0.0100139,3.13069,-2039.27,-4061.96,542.518
6724,0,-0.0329663,-0.0209684,0.078778,3519.66,6034.23,184.716,-0.0142387,-0.0134658,3.1306,-2038.94,-4061.97,547.098
6725,0,-0.032703,-0.0206423,0.0788477,3519.66,6034.25,184.717,-0.0150653,-0.0131194,3.13059,-2038.8,-4062.14,551.791
6726,0,-0.0330083,-0.0209893,0.0789422,3519.7,6034.26,184.713,-0.0147246,-0.0114856,3.13068,-2038.56,-4062.31,556.348
6727,0,-0.0333758,-0.0211706,0.0785953,3519.62,6034.19,184.697,-0.0117367,-0.00724773,3.13075,-2038.49,-4062.51,560.893
6728,0,-0.0332432,-0.0214697,0.0787926,3519.74,6034.25,184.777,-0.0104003,-0.00565787,3.13068,-2038.32,-4062.66,565.232
6729,0,-0.0330146,-0.0209006,0.0789248,3519.55,6034.24,184.741,-0.0109264,-0.00663068,3.13065,-2038.08,-4062.75,569.457
6730,0,-0.0326437,-0.0204401,0.0789618,3519.62,6034.28,184.661,-0.0100721,-0.00585478,3.13068,-2037.91,-4062.9,573.612
6731,0,-0.0330163,-0.0209781,0.0788606,3519.52,6034.21,184.753,-0.0112241,-0.0079151,3.13071,-2037.69,-4062.97,577.596
6732,0,-0.0329719,-0.0207822,0.0788369,3519.59,6034.23,184.716,-0.0116201,-0.00830811,3.13056,-2037.57,-4063.1,581.595
6733,0,-0.0328335,-0.020709,0.0790001,3519.52,6034.25,184.703,-0.00880886,-0.00454507,3.13072,-2037.43,-4063.31,585.57
6734,0,-0.0330707,-0.0209898,0.0788399,3519.55,6034.23,184.74,-0.00826718,-0.00402952,3.13071,-2037.26,-4063.36,589.308
6735,0,-0.0330983,-0.0211352,0.0788661,3519.64,6034.23,184.738,-0.00788104,-0.00390699,3.13082,-2037.09,-4063.49,592.969
6736,0,-0.0330997,-0.0210801,0.0786767,3519.65,6034.2,184.747,-0.00807059,-0.004471,3.13097,-2036.91,-4063.57,596.532
